dataset,target,model,random_search_best_rmse,random_search_best_params
Dataset_3772,Hardness (HV),extra_trees,2.3277641464985837,"{'model__max_depth': 6, 'model__max_features': np.float64(0.6591670111852694), 'model__min_samples_leaf': 1, 'model__n_estimators': 574}"
Dataset_3772,Hardness (HV),gradient_boosting,1.7886259687880728,"{'model__learning_rate': np.float64(0.11536162338241392), 'model__max_depth': 2, 'model__min_samples_leaf': 2, 'model__n_estimators': 291, 'model__subsample': np.float64(0.996884623716487)}"
Dataset_3772,Hardness (HV),xgboost,1.5041471600532532,"{'model__learning_rate': np.float64(0.21130455749498983), 'model__max_depth': 2, 'model__min_child_weight': 4, 'model__n_estimators': 376, 'model__reg_alpha': np.float64(0.29507066707905333), 'model__reg_lambda': np.float64(0.6838478430964046), 'model__subsample': np.float64(0.6028265220878869)}"
Dataset_3772,Hardness (HV),ann,2.1835037803407196,"{'regressor__model__alpha': np.float64(0.755681014127442), 'regressor__model__hidden_layer_sizes': (12,), 'regressor__model__learning_rate_init': np.float64(0.00079342935945906)}"
Dataset_3772,Hardness (HV),lightgbm,1.705566393944234,"{'model__learning_rate': np.float64(0.05291912967258153), 'model__max_depth': 4, 'model__min_child_samples': 5, 'model__n_estimators': 502, 'model__num_leaves': 12, 'model__reg_alpha': np.float64(0.11178209200698727), 'model__reg_lambda': np.float64(0.04780654141328924)}"
Dataset_3772,wear rate,linear_regression,0.20947942117971974,{}
Dataset_3772,wear rate,ridge,0.20933551677915627,{'model__alpha': np.float64(0.37253938395788866)}
Dataset_3772,wear rate,elasticnet,0.20950605343119832,"{'model__alpha': np.float64(0.002259279742015696), 'model__l1_ratio': np.float64(0.22638457617723068)}"
Dataset_3772,wear rate,svr_rbf,0.19779617045289988,"{'model__C': np.float64(91.33995846860967), 'model__epsilon': np.float64(0.2073644517790503), 'model__gamma': np.float64(0.0062353771356731605)}"
Dataset_3772,wear rate,gpr,0.18091749626149456,"{'model__alpha': np.float64(3.0900814009365934e-05), 'model__n_restarts_optimizer': 9}"
Dataset_3772,wear rate,random_forest,0.23094502233949216,"{'model__max_depth': 4, 'model__max_features': np.float64(0.6755493351795203), 'model__min_samples_leaf': 1, 'model__n_estimators': 199}"
Dataset_3772,wear rate,extra_trees,0.24398266174576316,"{'model__max_depth': 6, 'model__max_features': np.float64(0.5628094190643376), 'model__min_samples_leaf': 1, 'model__n_estimators': 379}"
Dataset_3772,wear rate,gradient_boosting,0.16487868265210742,"{'model__learning_rate': np.float64(0.24606760251270873), 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__n_estimators': 256, 'model__subsample': np.float64(0.9208787923016158)}"
Dataset_3772,wear rate,xgboost,0.15691560867260423,"{'model__learning_rate': np.float64(0.06416866024982448), 'model__max_depth': 2, 'model__min_child_weight': 3, 'model__n_estimators': 646, 'model__reg_alpha': np.float64(0.0774211647399625), 'model__reg_lambda': np.float64(0.022844556850020535), 'model__subsample': np.float64(0.885297914889198)}"
Dataset_3772,wear rate,ann,0.2037855325545736,"{'regressor__model__alpha': np.float64(0.04467752817973906), 'regressor__model__hidden_layer_sizes': (12,), 'regressor__model__learning_rate_init': np.float64(0.0007084541505250235)}"
Dataset_3772,wear rate,lightgbm,0.15888102118035918,"{'model__learning_rate': np.float64(0.21574860446922628), 'model__max_depth': 3, 'model__min_child_samples': 3, 'model__n_estimators': 445, 'model__num_leaves': 7, 'model__reg_alpha': np.float64(0.008386394780402562), 'model__reg_lambda': np.float64(0.05285382203816726)}"
Dataset_3772,Ultimate Compression Strength (MPa),linear_regression,9.83745642398841,{}
Dataset_3772,Ultimate Compression Strength (MPa),ridge,9.805675851641478,{'model__alpha': np.float64(1.1462107403425035)}
Dataset_3772,Ultimate Compression Strength (MPa),elasticnet,9.809401474763996,"{'model__alpha': np.float64(0.05342937261279776), 'model__l1_ratio': np.float64(0.31210622617823774)}"
Dataset_3772,Ultimate Compression Strength (MPa),svr_rbf,8.673799944032444,"{'model__C': np.float64(9.717775305059629), 'model__epsilon': np.float64(0.00861257919259488), 'model__gamma': np.float64(0.12030178871154672)}"
Dataset_3772,Ultimate Compression Strength (MPa),gpr,6.604432054106908,"{'model__alpha': np.float64(4.473429410462683e-09), 'model__n_restarts_optimizer': 5}"
Dataset_3772,Ultimate Compression Strength (MPa),random_forest,8.02955496968673,"{'model__max_depth': 4, 'model__max_features': np.float64(0.6755493351795203), 'model__min_samples_leaf': 1, 'model__n_estimators': 199}"
Dataset_3772,Ultimate Compression Strength (MPa),extra_trees,7.547857177656624,"{'model__max_depth': 6, 'model__max_features': np.float64(0.6591670111852694), 'model__min_samples_leaf': 1, 'model__n_estimators': 574}"
Dataset_3772,Ultimate Compression Strength (MPa),gradient_boosting,7.3173949781486956,"{'model__learning_rate': np.float64(0.25829172494081126), 'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__n_estimators': 786, 'model__subsample': np.float64(0.8473544037332349)}"
Dataset_3772,Ultimate Compression Strength (MPa),xgboost,7.034214865307338,"{'model__learning_rate': np.float64(0.031420647964844825), 'model__max_depth': 3, 'model__min_child_weight': 3, 'model__n_estimators': 640, 'model__reg_alpha': np.float64(0.008226074946221037), 'model__reg_lambda': np.float64(0.01701922302655402), 'model__subsample': np.float64(0.7159005811655073)}"
Dataset_3772,Ultimate Compression Strength (MPa),ann,9.395754942544707,"{'regressor__model__alpha': np.float64(0.00030771802712506853), 'regressor__model__hidden_layer_sizes': (32,), 'regressor__model__learning_rate_init': np.float64(0.00463863097239728)}"
Dataset_3772,Ultimate Compression Strength (MPa),lightgbm,7.350597880006577,"{'model__learning_rate': np.float64(0.014621492226263782), 'model__max_depth': 3, 'model__min_child_samples': 3, 'model__n_estimators': 610, 'model__num_leaves': 3, 'model__reg_alpha': np.float64(0.004007469039971234), 'model__reg_lambda': np.float64(0.3346542387875272)}"
Dataset_3772,Elongation (%),linear_regression,3.1693639240285214,{}
Dataset_3772,Elongation (%),ridge,3.084756027137666,{'model__alpha': np.float64(21.42302175774105)}
Dataset_3772,Elongation (%),elasticnet,3.1193388224289214,"{'model__alpha': np.float64(0.23423849847112907), 'model__l1_ratio': np.float64(0.09180537144799795)}"
Dataset_3772,Elongation (%),svr_rbf,2.5822676403149094,"{'model__C': np.float64(1.976218934028007), 'model__epsilon': np.float64(0.007476312062252299), 'model__gamma': np.float64(0.2801635158716261)}"
Dataset_3772,Elongation (%),gpr,2.2486708886951883,"{'model__alpha': np.float64(0.05804965855340131), 'model__n_restarts_optimizer': 8}"
Dataset_3772,Elongation (%),random_forest,1.952544640473403,"{'model__max_depth': 4, 'model__max_features': np.float64(0.6755493351795203), 'model__min_samples_leaf': 1, 'model__n_estimators': 199}"
Dataset_3772,Elongation (%),extra_trees,1.8958494217045705,"{'model__max_depth': 4, 'model__max_features': np.float64(0.6755493351795203), 'model__min_samples_leaf': 1, 'model__n_estimators': 199}"
Dataset_3772,Elongation (%),gradient_boosting,1.9006934261371071,"{'model__learning_rate': np.float64(0.11585767933179794), 'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__n_estimators': 180, 'model__subsample': np.float64(0.7035119926400067)}"
Dataset_3772,Elongation (%),xgboost,1.8457431249303888,"{'model__learning_rate': np.float64(0.10121205599948264), 'model__max_depth': 3, 'model__min_child_weight': 4, 'model__n_estimators': 588, 'model__reg_alpha': np.float64(0.5804314717414073), 'model__reg_lambda': np.float64(0.1446125682015214), 'model__subsample': np.float64(0.9746919954946938)}"
Dataset_3772,Elongation (%),ann,2.562039220796078,"{'regressor__model__alpha': np.float64(0.00030771802712506853), 'regressor__model__hidden_layer_sizes': (32,), 'regressor__model__learning_rate_init': np.float64(0.00463863097239728)}"
Dataset_3772,Elongation (%),lightgbm,1.6968792614036432,"{'model__learning_rate': np.float64(0.1777807487915871), 'model__max_depth': 4, 'model__min_child_samples': 3, 'model__n_estimators': 229, 'model__num_leaves': 7, 'model__reg_alpha': np.float64(0.09074256288983863), 'model__reg_lambda': np.float64(9.056311714376344)}"
