dataset,mode,target,model,seed,fold,train_r2,train_rmse,train_nrmse,train_mae,test_r2,test_rmse,test_nrmse,test_mae,train_Si Particle Size (um)__r2,train_Si Particle Size (um)__rmse,train_Si Particle Size (um)__nrmse,train_Si Particle Size (um)__mae,test_Si Particle Size (um)__r2,test_Si Particle Size (um)__rmse,test_Si Particle Size (um)__nrmse,test_Si Particle Size (um)__mae,train_Hardness (HV)__r2,train_Hardness (HV)__rmse,train_Hardness (HV)__nrmse,train_Hardness (HV)__mae,test_Hardness (HV)__r2,test_Hardness (HV)__rmse,test_Hardness (HV)__nrmse,test_Hardness (HV)__mae,train_wear rate__r2,train_wear rate__rmse,train_wear rate__nrmse,train_wear rate__mae,test_wear rate__r2,test_wear rate__rmse,test_wear rate__nrmse,test_wear rate__mae,train_Ultimate Compression Strength (MPa)__r2,train_Ultimate Compression Strength (MPa)__rmse,train_Ultimate Compression Strength (MPa)__nrmse,train_Ultimate Compression Strength (MPa)__mae,test_Ultimate Compression Strength (MPa)__r2,test_Ultimate Compression Strength (MPa)__rmse,test_Ultimate Compression Strength (MPa)__nrmse,test_Ultimate Compression Strength (MPa)__mae,train_Elongation (%)__r2,train_Elongation (%)__rmse,train_Elongation (%)__nrmse,train_Elongation (%)__mae,test_Elongation (%)__r2,test_Elongation (%)__rmse,test_Elongation (%)__nrmse,test_Elongation (%)__mae,train_Temperature (°C)__r2,train_Temperature (°C)__rmse,train_Temperature (°C)__nrmse,train_Temperature (°C)__mae,test_Temperature (°C)__r2,test_Temperature (°C)__rmse,test_Temperature (°C)__nrmse,test_Temperature (°C)__mae,train_Strain__r2,train_Strain__rmse,train_Strain__nrmse,train_Strain__mae,test_Strain__r2,test_Strain__rmse,test_Strain__nrmse,test_Strain__mae
Dataset_0136,multi_output,ALL,lightgbm,42,1,0.9837298382318489,1.0286693698120326,0.002430693217892327,0.5751575606724851,0.9655320663792379,2.098106597347984,0.004888526287536951,1.347596231683555,0.9863251106398511,0.09725282944398428,0.029470554376964934,0.06623403189865198,0.9568682602601963,0.1560495948902909,0.07466487793793825,0.12889730973876076,0.9962011074087145,0.346733680156404,0.01576062182529109,0.29016204085231406,0.9276313391431932,1.2915771282899442,0.0956723798733292,1.089013922570197,0.9883392265623376,0.10919184511810376,0.02643870341842706,0.0727688915705717,0.9804456344466272,0.10328159364837328,0.053513779092421394,0.08758970573628501,0.9790725492147807,2.13879513323575,0.04193715947521078,1.5230635988885366,0.9566971905363244,4.07631988654117,0.06574709494421242,3.248003615445295,0.9393809729771211,0.596496823738049,0.06278913934084726,0.41654026711924114,0.949540760716471,0.7922573732514954,0.07617859358187457,0.6971090205130032,0.9987884540739693,1.026396065579967,0.009003474259473395,0.6974586293551535,0.9931953330613953,2.7745060150163563,0.026423866809679585,2.311570431412503,0.9980014467461673,1.1321561393093624,0.011552613666422065,0.9598754650229263,0.994345946490458,2.0418691987068995,0.030027488216277935,1.8709896163688415
Dataset_0136,multi_output,ALL,lightgbm,42,2,0.9877274040256119,0.8283606890985334,0.0019300109252062755,0.5211833960026645,0.8083879931546057,2.8876986327540806,0.007337564814519326,1.4180630974352784,0.9877297254207613,0.07803288912056558,0.035469495054802534,0.06342207918699486,0.8407551717318116,0.3856992593363099,0.14554689031558868,0.28087610012954517,0.9895858231345785,0.5239865549764283,0.028323597566293424,0.40931456379634656,0.9698695965284992,1.0318478927108927,0.0644904932944308,0.9395871268132409,0.9800662144551207,0.12367193179790677,0.033334752506174334,0.08208463939818184,0.9162536619954211,0.3042264932693617,0.09750849143248772,0.18218444965929045,0.9930344676108191,1.4468711112732786,0.023336630826988364,1.1079122056922464,0.1550047349689304,6.801993249682757,0.32390444046108363,4.5796874417852536,0.9661562576332723,0.5119101253333314,0.047842067788161816,0.34994959571344714,0.7960630057821303,1.2296955689644349,0.12944163883836157,0.9550907796614513,0.9985264024483206,1.2097077156153484,0.010080897630127903,0.9784398999491432,0.9830272620888226,2.9162271586278936,0.040503154980942965,2.192266676756877,0.9989929374764103,0.8297249448679499,0.008733946788083683,0.6571607882822917,0.9977425189866256,0.8842803864937718,0.018814476308378125,0.7967491072412908
Dataset_0136,multi_output,ALL,lightgbm,42,3,0.9860781603720673,1.0432801597594663,0.0024308119009284145,0.5573716879318114,0.9351075776949207,1.982138957089392,0.0048203768411707,1.2718365536502427,0.9877792323960933,0.09208859253116237,0.027990453656888264,0.06940263613456937,0.8918489618687738,0.14265361012262706,0.10189543580187646,0.10650084396521123,0.9945934143561853,0.41526096243983485,0.01977433154475404,0.3080856514875597,0.8338056730521181,1.2391460582010956,0.12391460582010956,1.0735936080126092,0.9886958071691127,0.1054453957508747,0.026427417481422227,0.06652983590909631,0.9270697873905029,0.14678037276099618,0.07891417890376137,0.09981194491017435,0.979485688468901,2.319166431779393,0.03740591018999021,1.602808973986106,0.9732052023832993,2.130211931846948,0.04953981236853368,1.6533636280980812,0.9544171030614396,0.6108768595892161,0.054542576749037154,0.43489906177165294,0.9642411997297727,0.435575455499674,0.06312687760864841,0.4088869420916649,0.9992614667848275,0.7930388696674332,0.00660865724722861,0.6437305960528389,0.9873048829939924,2.949758930066189,0.04275012942124912,2.496153384553785,0.9983144103679121,1.0229269818862587,0.011365855354291764,0.7761450601808564,0.9682773364459853,3.534987954023844,0.05523418678162256,3.0645455239201738
Dataset_0136,multi_output,ALL,lightgbm,42,4,0.9864156687784851,1.0493308416169236,0.0024448528462649665,0.5489647233380819,0.9278072962332266,1.921634772692761,0.004915924207451423,1.2075515394596086,0.9924022385940552,0.07601565838464779,0.023035047995347814,0.055839744823104054,0.835406469424808,0.22311688723600592,0.13124522778588585,0.18789024139531477,0.9947881311035204,0.4203441857739157,0.01910655389881435,0.33493109128454635,0.9630474409288957,0.8026747291095987,0.05460372306868017,0.7384295051144514,0.9859420148071112,0.11357547168298725,0.02750011420895575,0.08027843414417991,0.9419160017050807,0.24378094230397798,0.07320749018137476,0.15343779834040458,0.9740732511452772,2.442386214894441,0.03939332604668453,1.7294637255336949,0.9515647196583942,4.1012833453718045,0.08369966010962866,3.4969699348462506,0.9591952437906663,0.5520376278800575,0.04928907391786228,0.3484720950585489,0.8145174613433839,1.2473706443049657,0.1685636005817521,0.9015649601655399,0.9992831915322669,0.8271030770864158,0.006892525642386798,0.6555408969571772,0.9934850360166751,2.1515300016093875,0.02907472975147821,1.8967693319633636,0.9992256104764984,0.7471305362184801,0.007623780981821226,0.6382270755653228,0.9947139445553489,1.4455879192490588,0.024093131987484313,1.0777990043919357
Dataset_0136,multi_output,ALL,lightgbm,123,0,0.9855236952283521,1.0417468732777193,0.0024271828361549846,0.537813685176987,0.9462518473400005,2.1646795482154437,0.0054969008334571955,1.3279559000521897,0.9886868450036972,0.09035111758337191,0.027379126540415733,0.06326357896339548,0.9744419915573994,0.11212201123197958,0.05606100561598979,0.09384328594146726,0.9931498283857796,0.4688148960343626,0.021309768001561938,0.33855069653861036,0.9287896920370924,1.366308052679265,0.08037106192230971,1.132340973837632,0.9869712823137939,0.11597844353769632,0.02808194758781993,0.07486585016753018,0.9908102294341424,0.07477431851993957,0.03268108326920435,0.070541239060676,0.9805840245593737,2.2376337109928457,0.03609086630633622,1.3906947647095989,0.9230158390956797,4.135098085884369,0.08438975685478305,3.256951110618086,0.9514600741300131,0.6269409785680226,0.05597687308643059,0.45343216269643244,0.836513930133409,0.9750238439516373,0.13356491013036126,0.8399627877931295,0.9989163335988225,1.0602087767106116,0.008835073139255098,0.7645798274261243,0.9835046949114966,2.9016930042843825,0.05181594650507826,2.2136549500730354,0.9988974786069857,0.9116752930380291,0.00930280911263295,0.6793089157372175,0.9866865542107839,2.108642363947658,0.043033517631584854,1.688396953041301
Dataset_0136,multi_output,ALL,lightgbm,123,1,0.9878030451320159,1.0051021310689294,0.002341803660458829,0.5331103947839136,0.9476973566883647,1.566932808421626,0.004069955346549678,1.0157323169978114,0.9880247287695375,0.09379441922020165,0.028422551278848986,0.06791925564536415,0.9591382252080803,0.11579867633923861,0.0890759048763374,0.10296502285229006,0.9980007957202948,0.25313508952030667,0.011506140432741212,0.2029430399581135,0.9114426616379254,1.2871040000176637,0.10725866666813864,1.010257222160947,0.984533532533875,0.12413069190738628,0.030055857604694015,0.08968597817279088,0.9553740317865403,0.1571490651022765,0.07519094024032369,0.14906300440571854,0.9773709548246894,2.3519938047773112,0.04199988937102341,1.687119810200362,0.9760308717877281,2.5358809284047403,0.04876694093086039,1.8677870931750757,0.9680727449692589,0.49155227985171146,0.04388859641533138,0.35454192657203565,0.852337166109097,1.0856845940309168,0.12198703303718168,0.6712622845046017,0.999352104541173,0.8251248653601307,0.006876040544667756,0.7182047662569999,0.9938596566630644,1.5227587284378998,0.024963257843244258,1.2501279176150806,0.9992664545652826,0.7273233922297353,0.00742166726765036,0.6113579866817296,0.9856988836261172,2.358815348431052,0.043681765711686145,2.0586636742709663
Dataset_0136,multi_output,ALL,lightgbm,123,2,0.9876082414089621,1.3081609751327143,0.0030479053474667156,0.7340111535396032,0.9227331280745499,2.4159105895108177,0.005708808311894935,1.4857171522176176,0.987689960604677,0.09282400394056874,0.028128486042596587,0.0681343720828775,0.9506072152454069,0.16603561906640568,0.08343498445548025,0.11984350378088758,0.9937683174404139,0.436259133930653,0.0198299606332115,0.3364338886480233,0.9615102794518573,1.103688796692088,0.0689805497932555,0.9192348968039609,0.9853106513516282,0.1155202588486907,0.027971006985155134,0.07193051792849993,0.927875561967311,0.2753406963973559,0.08098255776392821,0.1711920810233273,0.9800234644054289,2.3212928297557323,0.03744020693154407,1.8093570706858402,0.9531400678275272,2.856878884684206,0.06643904382986525,2.2215052427978685,0.9744611597546033,0.45291483951890743,0.04043882495704531,0.33535465252955515,0.6963233011876724,1.3437168177733771,0.18158335375315907,1.0381530027632588,0.9951721137309636,2.053139528860248,0.017109496073835398,1.4664027051690223,0.9855831228105455,4.002106487276481,0.037755721578080007,3.01935336737122,0.9968320225750197,1.3992135369095655,0.014277689152138423,1.050464867733405,0.9840923480315278,3.681123519540821,0.04231176459242323,2.9107379709827987
Dataset_0136,multi_output,ALL,lightgbm,123,3,0.9878281698609525,0.9702160953117156,0.002292625287250917,0.6183787993885433,0.9381114393298304,3.182606060117687,0.007415205172687994,1.9530654674870982,0.9828649626430475,0.09988834424725028,0.030361198859346593,0.06712309789561066,0.9897402501997785,0.10321525652882728,0.0396981755880105,0.09166115875320757,0.9904944087587157,0.5152450747678372,0.024535479750849392,0.3814788367540945,0.9887497425313648,0.692031349465769,0.03642270260346153,0.4784373290879265,0.9950072906928159,0.06616672541285444,0.01658313920121665,0.054515975330741234,0.9346973544628558,0.2776199698815651,0.09192714234488909,0.20684459882659492,0.9895224134687021,1.5558233702636077,0.026369887631586573,1.37595823449436,0.8810941227507665,5.662235172375227,0.10485620689583754,4.753165276900114,0.9623624513696021,0.5603746779571055,0.05003345338902728,0.4064285444440058,0.7980617774229319,0.8488027591239253,0.16323129983152412,0.7160024962486633,0.9964042361252125,1.614830342775609,0.015234248516751028,1.2752485155157764,0.981730545387933,5.369491265838566,0.04474576054865472,5.1196379187195555,0.9981414259685708,0.9834218434475724,0.010926909371639693,0.7678983912852144,0.9927062825531823,2.953544647823677,0.03245653459146897,2.3057094938736244
Dataset_0136,multi_output,ALL,lightgbm,123,4,0.9865384045061727,0.7979904869458639,0.001859250901551407,0.5166965692923478,0.9020987968763252,2.968612705357148,0.007228178001843555,1.568589151162936,0.9901758868434531,0.07775082968867185,0.029904165264873793,0.06293259505994415,0.847950222350732,0.34821249264432536,0.12436160451583049,0.25925806976847904,0.992653377672339,0.476009946610682,0.025053155084772738,0.3943454258482119,0.9668624704068599,0.9406951128605211,0.05879344455378257,0.6974327900238961,0.9848754700722723,0.11439062271166292,0.030833051943844454,0.0854909705243922,0.9472796167519523,0.23938712548856275,0.07672664278479575,0.1325933073081663,0.9909120911952222,1.5232462947273917,0.02456848862463535,1.2154863092451564,0.7668241781801489,7.011136351002944,0.17840041605605456,5.401251755095211,0.9490813570669706,0.5645339987601279,0.05428211526539692,0.3670288279286201,0.8024618829224002,1.6181994040818353,0.14448208965016388,1.1541433295588235,0.9989097611168458,0.9931377818891876,0.008276148182409897,0.8764119701622333,0.9960236984690378,1.7986797280250126,0.020209884584550704,1.6091406110063124,0.9991608875761055,0.7658363281185694,0.008061435032827045,0.6151798862778761,0.9872895090531449,2.3696652341371913,0.03822040700221276,1.7263041953796627
Dataset_0136,multi_output,ALL,lightgbm,7,0,0.9886388153064262,0.9844297916219603,0.002326157352603876,0.6542620351733847,0.9209302433205042,2.9446785736327468,0.006865653004506288,1.6079691570128223,0.9872263812541877,0.081765765225316,0.03406906884388167,0.06614084818960257,0.8694156375933287,0.37281460638848457,0.12427153546282821,0.23980580595623618,0.9904701085152212,0.5190775323236773,0.027319870122298803,0.40103621659557426,0.9755780671091449,0.9465539600177005,0.05200845934163189,0.8097637920665974,0.9789758887795037,0.12711041943805576,0.03426156858168619,0.07882012388363381,0.9492830399742892,0.27098949294802516,0.07226386478614004,0.16839976575030857,0.9892836200593124,1.609799705078078,0.02728474076403522,1.3776854196189565,0.8939271004618569,5.3664506169912585,0.10320097340367805,3.6215660094986877,0.9794287428951179,0.40096046445842787,0.037472940603591395,0.3150764471973379,0.7875983522181818,1.2018999622342226,0.14139999555696736,0.9324978971165183,0.9974893159140051,1.4822579922143377,0.013002263089599455,1.278981066267765,0.9748760047675418,5.142886930603316,0.04806436383741417,3.9986793261974753,0.9975976497276358,1.2418199461929624,0.013071788907294341,1.0620941244608233,0.9958335011191862,1.7020256032262346,0.021012661768225117,1.4850715025039305
