dataset,mode,target,model,seed,fold,train_r2,train_rmse,train_nrmse,train_mae,test_r2,test_rmse,test_nrmse,test_mae
Dataset_3772,single_output,Hardness (HV),xgboost,99,2,0.9882684946060181,0.5691523051323382,0.03161957440827626,0.47538572549819946,0.8647062182426453,2.210688277038091,0.10527087563609633,1.5925663709640503
Dataset_3772,single_output,Hardness (HV),xgboost,99,3,0.9806448221206665,0.8392462445749777,0.03996410596756304,0.6492612361907959,0.9267308115959167,0.8542256141109101,0.09491395662103089,0.6835817694664001
Dataset_3772,single_output,Hardness (HV),xgboost,99,4,0.9864320755004883,0.6170412928598803,0.02938291896071832,0.4769039750099182,0.909712553024292,1.9977671557011938,0.12486044859214865,1.7211827039718628
Dataset_3772,single_output,Hardness (HV),lightgbm,42,0,0.9621480920498584,1.01151383902043,0.0505756919510215,0.7158134585908351,0.9135179891000925,1.853728311228755,0.11585801945179719,1.4539099854517215
Dataset_3772,single_output,Hardness (HV),lightgbm,42,1,0.9763943619075106,0.8574539117032497,0.0408311386525357,0.6592993157150029,0.8597942690137305,2.0100283892431774,0.13400189261621182,1.713144427765485
Dataset_3772,single_output,Hardness (HV),lightgbm,42,2,0.9550886350366149,1.1003838316279446,0.06113243509044137,0.8231975984149118,0.9594612203073516,1.1782386744478275,0.07363991715298922,0.9357132960115544
Dataset_3772,single_output,Hardness (HV),lightgbm,42,3,0.995597606694628,0.3952792708910064,0.018822822423381257,0.34533542860196886,-0.23406084160664586,2.8388682327902157,0.40555260468431653,2.101193254974226
Dataset_3772,single_output,Hardness (HV),lightgbm,42,4,0.9688598327695613,1.0340964966317692,0.04924269031579853,0.6785888676083937,0.895421971105568,1.408846444260895,0.09392309628405966,1.1715760430803357
Dataset_3772,single_output,Hardness (HV),lightgbm,123,0,0.9630698532454773,1.0964095770664037,0.05220997986030494,0.8294002844704019,0.9398268146796067,1.2772068923220845,0.07512981719541674,0.8997203274157215
Dataset_3772,single_output,Hardness (HV),lightgbm,123,1,0.967853417121623,1.0006226313233864,0.05003113156616932,0.6681825524333401,0.8765756724390388,1.770160049755883,0.12644000355399163,1.4891365933829823
Dataset_3772,single_output,Hardness (HV),lightgbm,123,2,0.971626040724054,0.9178122511825139,0.04370534529440542,0.655942773700571,0.8657232800346921,2.264932398752669,0.13323131757368642,2.0031875085876476
Dataset_3772,single_output,Hardness (HV),lightgbm,123,3,0.992004750281832,0.49500425325892455,0.023571631107567836,0.3950855629085996,0.7874513054209868,2.6866298886830053,0.17910865924553368,1.920603979089019
Dataset_3772,single_output,Hardness (HV),lightgbm,123,4,0.9714879790440689,0.9589078163193223,0.05046883243785907,0.6558448076002047,0.8771149993411136,1.7041415982833723,0.10650884989271077,1.403971679739117
Dataset_3772,single_output,Hardness (HV),lightgbm,7,0,0.9682602528107278,0.9599084817850344,0.0505214990413176,0.7344529364036693,0.9270748327794933,1.6561008305455758,0.09200560169697643,1.3380586752847279
Dataset_3772,single_output,Hardness (HV),lightgbm,7,1,0.9878058462960788,0.6203378689898077,0.029539898523324178,0.4891822978372416,0.7723872291460065,2.5097480045793654,0.16731653363862437,1.273866899565462
Dataset_3772,single_output,Hardness (HV),lightgbm,7,2,0.9643646645985492,1.014259025515661,0.05071295127578305,0.7411058098549682,0.9019502686415921,1.800456658629834,0.11252854116436463,1.5377225709762226
Dataset_3772,single_output,Hardness (HV),lightgbm,7,3,0.9722301198270736,0.9231728151794556,0.04396061024664074,0.6082256517402413,0.91379373753211,1.710992197805235,0.10064659987089618,1.4625252540046927
Dataset_3772,single_output,Hardness (HV),lightgbm,7,4,0.9699810801978818,1.0379086947005471,0.04942422355716891,0.6606592490125791,0.8734073113183569,1.261527226589411,0.1146842933263101,1.135021599787324
Dataset_3772,single_output,Hardness (HV),lightgbm,2024,0,0.9704726479046741,0.8851506743918564,0.04215003211389792,0.7279360798574365,0.6523562399678131,3.147673293230625,0.20984488621537498,2.5373371760531604
Dataset_3772,single_output,Hardness (HV),lightgbm,2024,1,0.9713235778273857,0.9983068110628488,0.04753841957442137,0.6528609033420417,0.8394849919633703,1.6409512958118917,0.11721080684370655,1.1745275083387514
Dataset_3772,single_output,Hardness (HV),lightgbm,2024,2,0.9674102646640752,1.0603791755060266,0.05049424645266793,0.7451823714222422,0.9113139821311029,1.0031524385666313,0.09119567623333012,0.8255071153382018
