dataset,mode,target,model,train_r2_mean,train_r2_std,train_rmse_mean,train_rmse_std,train_nrmse_mean,train_nrmse_std,train_mae_mean,train_mae_std,test_r2_mean,test_r2_std,test_rmse_mean,test_rmse_std,test_nrmse_mean,test_nrmse_std,test_mae_mean,test_mae_std,gap_r2,gap_rmse,stability_test_r2_std,stability_test_rmse_std
Dataset_3772,single_output,Si Particle Size (um),ridge,0.9116188447785926,0.013158905281390075,0.061745943809567896,0.005221923051603257,0.0810277197707251,0.007587397074491082,0.047644347556102806,0.0032681061831154887,0.8522277316889273,0.0760196067734623,0.07047070888299141,0.02268416453623806,0.12999415368102396,0.03535469409062198,0.05684216215568487,0.018057715473036935,0.05939111308966527,0.008724765073423513,0.0760196067734623,0.02268416453623806
Dataset_3772,single_output,Si Particle Size (um),svr_rbf,0.8709051794317548,0.020342898184926857,0.07443443075140745,0.0026655345910855948,0.0981156607587652,0.011213630299349908,0.06555800346324664,0.003527741740653522,0.7189838441467831,0.15611393678519855,0.09990650916745616,0.043860541158805576,0.17936387295448708,0.060166275678890845,0.08268221082740672,0.03816516760608766,0.15192133528497176,0.02547207841604872,0.15611393678519855,0.043860541158805576
Dataset_3772,single_output,Si Particle Size (um),xgboost,0.9837744793335161,0.004512739068950989,0.026182648001914118,0.0030974471797651447,0.03456324387921657,0.005963055257546519,0.01931186573890042,0.002620673594853069,0.925958641079259,0.05031125911005187,0.05019814299518603,0.02522356101436247,0.09006262323157109,0.03286256842591651,0.03966750777917249,0.018490500211595762,0.05781583825425718,0.024015494993271914,0.05031125911005187,0.02522356101436247
Dataset_3772,single_output,Ultimate Compression Strength (MPa),ann,0.731590012975921,0.0796189195001515,8.664835400120426,1.3665239759921892,0.12668039561731864,0.01993575592339093,7.15075602101697,1.1756881590985453,0.47242075959545493,0.46293862916816136,10.399943400375626,2.27823999352493,0.22289245740711472,0.0768602501377562,8.746346744985031,2.3797916956687195,0.25916925338046604,1.7351080002552006,0.46293862916816136,2.27823999352493
Dataset_3772,single_output,Ultimate Compression Strength (MPa),elasticnet,0.7174388358235834,0.04918130051725225,8.954443784359002,0.6837687602143838,0.13119036079545907,0.013535730488896613,7.1378457011828536,0.5329935763702944,0.47752793307901575,0.5020649588680773,9.834750145918072,2.9075515431324903,0.2154387589759753,0.09935566808005626,7.876215921803241,2.3882660856851254,0.2399109027445676,0.8803063615590698,0.5020649588680773,2.9075515431324903
Dataset_3772,single_output,Ultimate Compression Strength (MPa),extra_trees,0.8850483039721105,0.023047656087238515,5.7036313300358445,0.48986161646166493,0.08349373418957777,0.0084939060003249,4.769972583313812,0.45696373882173624,0.3742999890207972,0.7642262701490599,10.38598811092953,2.498287059380417,0.23110524329769663,0.11629715905026825,9.090147893934272,2.1414334509836843,0.5107483149513133,4.682356780893685,0.7642262701490599,2.498287059380417
Dataset_3772,single_output,Ultimate Compression Strength (MPa),gpr,0.9860311137570477,0.019468269133692956,1.433481083157414,1.3466592515535003,0.020967930461200702,0.020204695632198885,1.121336776554739,1.0593482856237413,0.6353517353647797,0.528105479247493,7.707526765327272,1.9901766011945006,0.17220036317248386,0.09211080386327336,6.105578033041715,1.538200592421166,0.3506793783922679,6.2740456821698585,0.528105479247493,1.9901766011945006
Dataset_3772,single_output,Ultimate Compression Strength (MPa),gradient_boosting,0.9237883341772531,0.03142500839764716,4.5521072195049745,0.9319346137535035,0.0668597786688132,0.015484773515360388,3.50378393673205,0.759072123733653,0.6479958447418038,0.34604733071048893,7.881961029806032,2.53798524002238,0.17377884438366692,0.08475655610534838,6.3739485639741815,1.9831576937775521,0.2757924894354493,3.3298538103010573,0.34604733071048893,2.53798524002238
Dataset_3772,single_output,Ultimate Compression Strength (MPa),lightgbm,0.9474322102391348,0.023742656624222543,3.759861674372112,0.8623964897743209,0.05512516727062656,0.013377519787047954,2.63856944654075,0.4172167117320677,0.568531460097495,0.7363414567382444,7.623921221981812,3.1344730414919284,0.17475593957873706,0.12299343058173398,5.75009039105231,2.1666966020129146,0.3789007501416398,3.8640595476097,0.7363414567382444,3.1344730414919284
Dataset_3772,single_output,Ultimate Compression Strength (MPa),linear_regression,0.7195218140507172,0.04912974237227986,8.920835125013847,0.6874450835456763,0.13069923053760565,0.013563673266422212,7.113353052197462,0.5248954950437303,0.4592895586822636,0.5461518438367647,9.85856794258771,2.994393158359476,0.21720660850844453,0.1049587115505288,7.914162594412794,2.3479484256538585,0.2602322553684536,0.9377328175738633,0.5461518438367647,2.994393158359476
Dataset_3772,single_output,Ultimate Compression Strength (MPa),random_forest,0.8768083822064487,0.02151575647743232,5.909642607412281,0.4136173367395072,0.08655781749160509,0.008246791920976297,4.839746122209687,0.407010631435123,0.4629347040358654,0.6318382599365131,9.716240307241698,2.442325804619002,0.2150319382925524,0.10574508141198102,8.349055847882703,2.0423888507422654,0.41387367817058335,3.8065976998294166,0.6318382599365131,2.442325804619002
Dataset_3772,single_output,Ultimate Compression Strength (MPa),ridge,0.7186903435444756,0.049144647910291855,8.934281691528712,0.6859704377191383,0.130895664984537,0.013551682428604972,7.123449280058274,0.5284986336831543,0.4719986332776837,0.5172410795585587,9.830612967732671,2.9395601509577154,0.21582601706787158,0.10139272527283633,7.874019814741354,2.383630078436606,0.24669171026679187,0.8963312762039592,0.5172410795585587,2.9395601509577154
Dataset_3772,single_output,Ultimate Compression Strength (MPa),svr_rbf,0.2195550412167363,0.021575647270548122,14.973127363727743,0.6954599243307428,0.21884350841644995,0.009665899978157413,11.932511848989215,0.7093456318406207,0.028380647607179,0.16829210659221752,15.656122592257606,3.616874587786584,0.31894593078542993,0.03889529607569444,13.253337453470909,3.188433453101444,0.1911743936095573,0.6829952285298635,0.16829210659221752,3.616874587786584
Dataset_3772,single_output,Ultimate Compression Strength (MPa),xgboost,0.9671304061247601,0.01286374047993352,2.9962118952990284,0.5573807187663978,0.04396762485896085,0.009133044646951005,2.2333811855222208,0.36418785255719777,0.6365890201879448,0.61091150109715,7.231387231510065,2.4335120798609737,0.16478005573408988,0.10422122676022763,5.492317393493652,1.750188351658644,0.33054138593681526,4.235175336211037,0.61091150109715,2.4335120798609737
Dataset_3772,single_output,wear rate,ann,0.9369346748404682,0.03392103454825559,0.16598747992512347,0.042375462172376414,0.0589750933664517,0.01441396776813691,0.1279191654472706,0.030510748579883548,0.84064205896092,0.11421231794950241,0.2268380644222875,0.05818701823133544,0.12739639351359938,0.045374481975114615,0.18139273755833668,0.047664417796434475,0.09629261587954818,0.06085058449716402,0.11421231794950241,0.05818701823133544
Dataset_3772,single_output,wear rate,elasticnet,0.904018739082525,0.01412173739412044,0.20960725972016991,0.009219426877271942,0.07471992603174242,0.005471345750711724,0.15216385019460227,0.010171515450035511,0.8557003250122786,0.06111653281002951,0.2283127548176334,0.07245006472185962,0.12320832022233086,0.03007045251461728,0.1737366440743261,0.058083974242628976,0.048318414070246396,0.018705495097463498,0.06111653281002951,0.07245006472185962
Dataset_3772,single_output,wear rate,extra_trees,0.925109159307225,0.016067064781462328,0.18471468382254622,0.01739263657873525,0.06583485898282754,0.0071753853510582,0.14600224571194093,0.01321786991301278,0.6662473481385284,0.2084183056606072,0.33830608625058617,0.07161011651378235,0.18798466100374572,0.05616587630667312,0.280995972403627,0.06421743292734891,0.25886181116869666,0.15359140242803995,0.2084183056606072,0.07161011651378235
Dataset_3772,single_output,wear rate,gpr,0.9595447500824466,0.009283328208190842,0.13527556355288367,0.009790888321248048,0.04828876606856235,0.005250655609007484,0.1091316604500779,0.008681905758360182,0.8927733775286855,0.0681551557154593,0.18428135150611244,0.03438863975070431,0.10496783534321694,0.03481764420083125,0.15275228333603694,0.03869408269001977,0.06677137255376109,0.04900578795322877,0.0681551557154593,0.03438863975070431
Dataset_3772,single_output,wear rate,gradient_boosting,0.9683120233796163,0.014637482723871094,0.11823786398602167,0.02665223263987426,0.04223118662231975,0.01018038961631246,0.08212752138837941,0.02014419821280358,0.8822494980367757,0.09319420034882828,0.19261734182771575,0.05427713686679703,0.1071379910539334,0.0382024184767593,0.15050701675742822,0.04117453543503788,0.08606252534284065,0.07437947784169409,0.09319420034882828,0.05427713686679703
Dataset_3772,single_output,wear rate,lightgbm,0.9800737246398501,0.0048776263783129395,0.09500168569775601,0.008948799995324335,0.033889224287989704,0.004014906471936261,0.06965906460645804,0.006492115027131341,0.9099912242918572,0.0569397560378029,0.1749056947126202,0.052620873258625085,0.09593350845505365,0.031207883067841096,0.1258830586644057,0.046300293688518505,0.0700825003479929,0.0799040090148642,0.0569397560378029,0.052620873258625085
Dataset_3772,single_output,wear rate,linear_regression,0.9321937085698612,0.010376515260759556,0.1762216141394703,0.011127753823669031,0.06281196935490856,0.005273653129419835,0.1351263945382252,0.009215868802117859,0.8820354382802202,0.057004988098405096,0.2030363738508262,0.04062441038494077,0.11193577924603935,0.025335968772826397,0.16228442672870214,0.039778469760993154,0.05015827028964093,0.026814759711355912,0.057004988098405096,0.04062441038494077
Dataset_3772,single_output,wear rate,random_forest,0.9184053464343295,0.009136470224504908,0.19356789299546157,0.007172268956003664,0.0689306980853367,0.0034871204511686535,0.14414313784372973,0.008212555614869254,0.7378933699590801,0.14809831266990908,0.30543324114705445,0.0767331957534922,0.1663905864941335,0.042715641465917706,0.24187540052370238,0.06020785022962447,0.1805119764752494,0.11186534815159288,0.14809831266990908,0.0767331957534922
Dataset_3772,single_output,wear rate,ridge,0.9311200993460738,0.01045321102828977,0.17761837170099393,0.011024115936564308,0.06330907833748588,0.005256707735447725,0.1357831814227271,0.009300082196168862,0.8831676227924403,0.05374047090099197,0.20276056588369065,0.04302456358511243,0.11143788797676525,0.024604952434004398,0.16190274749627093,0.04060222169082342,0.04795247655363344,0.025142194182696725,0.05374047090099197,0.04302456358511243
Dataset_3772,single_output,wear rate,svr_rbf,0.9701592019345106,0.008602015646805558,0.11575234915561214,0.014544127133179877,0.04121336845296693,0.005215507098237891,0.09346569716429283,0.007540231130803674,0.8442514928151661,0.11237569733134109,0.23008011191715577,0.08307167718288981,0.12547104602485837,0.042565783323814596,0.1800585872680237,0.06046143654894864,0.12590770911934446,0.11432776276154363,0.11237569733134109,0.08307167718288981
Dataset_3772,single_output,wear rate,xgboost,0.9854571380757092,0.004158593257936223,0.0808485474521122,0.008170753659187834,0.028893661643471544,0.004050245348989363,0.06467637198969652,0.007330122286109622,0.9196409805078258,0.08900878212315907,0.1529144260663494,0.040709545454040805,0.08713058903896276,0.04054672231204262,0.12178496548243933,0.03565511600952232,0.0658161575678834,0.07206587861423719,0.08900878212315907,0.040709545454040805
