dataset,target,model,random_search_best_rmse,random_search_best_params
Dataset_0172,Ultimate Compression Strength (MPa),lightgbm,5.359504952619687,"{'model__learning_rate': np.float64(0.21574860446922628), 'model__max_depth': 3, 'model__min_child_samples': 3, 'model__n_estimators': 445, 'model__num_leaves': 7, 'model__reg_alpha': np.float64(0.008386394780402562), 'model__reg_lambda': np.float64(0.05285382203816726)}"
Dataset_0172,Elongation (%),linear_regression,2.8901996499235176,{}
Dataset_0172,Elongation (%),ridge,2.864172186028624,{'model__alpha': np.float64(14.528246637516036)}
Dataset_0172,Elongation (%),elasticnet,2.8697109945822605,"{'model__alpha': np.float64(0.23423849847112907), 'model__l1_ratio': np.float64(0.09180537144799795)}"
Dataset_0172,Elongation (%),svr_rbf,2.3491299721089343,"{'model__C': np.float64(9.717775305059629), 'model__epsilon': np.float64(0.00861257919259488), 'model__gamma': np.float64(0.12030178871154672)}"
Dataset_0172,Elongation (%),gpr,2.2776242768276593,"{'model__alpha': np.float64(0.05804965855340131), 'model__n_restarts_optimizer': 8}"
Dataset_0172,Elongation (%),random_forest,1.9734683321425188,"{'model__max_depth': 4, 'model__max_features': np.float64(0.8627622080115674), 'model__min_samples_leaf': 1, 'model__n_estimators': 589}"
Dataset_0172,Elongation (%),extra_trees,2.147717424569585,"{'model__max_depth': 6, 'model__max_features': np.float64(0.5628094190643376), 'model__min_samples_leaf': 1, 'model__n_estimators': 379}"
Dataset_0172,Elongation (%),gradient_boosting,1.561872507151533,"{'model__learning_rate': np.float64(0.25829172494081126), 'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__n_estimators': 786, 'model__subsample': np.float64(0.8473544037332349)}"
Dataset_0172,Elongation (%),xgboost,1.443651194583246,"{'model__learning_rate': np.float64(0.10121205599948264), 'model__max_depth': 3, 'model__min_child_weight': 4, 'model__n_estimators': 588, 'model__reg_alpha': np.float64(0.5804314717414073), 'model__reg_lambda': np.float64(0.1446125682015214), 'model__subsample': np.float64(0.9746919954946938)}"
Dataset_0172,Elongation (%),ann,1.9747507306755328,"{'regressor__model__alpha': np.float64(0.20651425578959234), 'regressor__model__hidden_layer_sizes': (12,), 'regressor__model__learning_rate_init': np.float64(0.008521393381383607)}"
Dataset_0172,Elongation (%),lightgbm,1.491663918257341,"{'model__learning_rate': np.float64(0.2554006816661351), 'model__max_depth': 3, 'model__min_child_samples': 4, 'model__n_estimators': 485, 'model__num_leaves': 5, 'model__reg_alpha': np.float64(0.015977662354833867), 'model__reg_lambda': np.float64(0.07153547794693157)}"
